Domain,URL,Title,Hits,date,Date Discovery,Content length,Type,source_file
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226910-les-oeufs-mimosa-sont-bien-plus-legers-quand-on-remplace-la-mayonnaise-par-ca-c-est-4-fois-moins-gras/,Les œufs mimosa sont bien plus légers quand on remplace la mayonnaise par ça – c'est 4 fois moins gras,162,11/05/2025 14:30,11/05/2025 14:30,456.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3227194-ce-vin-rose-offre-le-meilleur-rapport-qualite-prix-selon-un-caviste/,C'est le chouchou des cavistes : ce vin rosé affiche le meilleur rapport qualité-prix,161,10/05/2025 08:15,10/05/2025 08:15,411.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3228670-pour-un-osso-bucco-bien-fondant-ce-chef-a-trouve-une-viande-2-fois-moins-chere/,"Pour son osso bucco, un chef italien a trouvé une viande bien fondante et 2 fois moins chère",161,29/05/2025 08:15,29/05/2025 08:15,444.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3232516-il-ne-faut-jamais-jeter-l-opercule-des-bouteilles-d-huile-il-a-une-vraie-utilite/,Tout le monde jette l'opercule des bouteilles d'huile alors qu'il a une véritable utilité - c'est si pratique quand on le sait,158,24/06/2025 08:15,24/06/2025 08:15,370.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3223938-plus-d-un-francais-sur-deux-le-consulte-avant-d-aller-au-restaurant-ce-site-detrone-le-guide-michelin/,Plus d'un Français sur deux le consulte avant d'aller au restaurant : ce site détrône le Guide Michelin,156,09/04/2025 16:15,09/04/2025 16:15,450.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226868-fini-la-tarte-a-la-tomate-pleine-d-eau-la-solution-express-a-connaitre-sans-precuisson/,"Fini la tarte à la tomate pleine d'eau : la solution express à connaître, sans précuisson",156,13/05/2025 08:15,13/05/2025 08:15,371.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3224210-moins-cher-qu-un-bordeaux-c-est-l-autre-vin-qui-se-marie-a-merveille-avec-le-gigot-d-agneau/,"Moins cher qu'un Bordeaux, c'est l'autre vin qui se marie à merveille avec le gigot d'agneau",155,14/04/2025 04:25,14/04/2025 04:25,362.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3226896-on-fait-tous-cette-erreur-avec-le-panier-du-airfryer-les-aliments-cuisent-moins-bien/,Airfryer : voilà l'erreur numéro 1 qui empêche les aliments de bien cuire dans le panier,155,07/05/2025 16:33,07/05/2025 16:33,439.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3223874-cette-variete-de-fraises-a-un-gout-de-bonbon-c-est-le-moment-de-les-acheter/,Cette variété de fraises a un goût de bonbon – c'est le moment de les acheter,152,12/04/2025 08:15,12/04/2025 08:15,440.0,article,top_urls_host_data_2025_07_04T15_55.csv
cuisine.journaldesfemmes.fr,https://cuisine.journaldesfemmes.fr/gastronomie/3228200-voila-pourquoi-il-faut-toujours-refuser-la-premiere-table-qu-on-vous-propose-au-restaurant-la-confidence-de-laurent-mariotte/,Voilà pourquoi il faut toujours refuser la première table qu'on vous propose au restaurant – la confidence de Laurent Mariotte,152,18/05/2025 08:15,18/05/2025 08:15,389.0,article,top_urls_host_data_2025_07_04T15_55.csv
